station_id,study_scope,scope_basis,programme,site_type,organization,state,site_cluster
CABEACH_WQX-BHH16,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BHH16
CABEACH_WQX-Big River,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Big River
CABEACH_WQX-Black Point,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Black Point
CABEACH_WQX-BLUBRDD,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BLUBRDD
CABEACH_WQX-BLUBRDU,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BLUBRDD
CABEACH_WQX-BLUBRDZ,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BLUBRDD
CABEACH_WQX-BLULGND,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BLULGND
CABEACH_WQX-BLULGNU,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BLULGND
CABEACH_WQX-BLULGNZ,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BLULGNZ
CABEACH_WQX-BNB01,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB01
CABEACH_WQX-BNB02,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB02
CABEACH_WQX-BNB03,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB03
CABEACH_WQX-BNB05,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB05
CABEACH_WQX-BNB07,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB07
CABEACH_WQX-BNB09,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB09
CABEACH_WQX-BNB10,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB10
CABEACH_WQX-BNB11,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB11
CABEACH_WQX-BNB12,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB12
CABEACH_WQX-BNB14,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB14
CABEACH_WQX-BNB15,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB15
CABEACH_WQX-BNB17,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB17
CABEACH_WQX-BNB18,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB18
CABEACH_WQX-BNB20,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB20
CABEACH_WQX-BNB21,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB21
CABEACH_WQX-BNB22,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB22
CABEACH_WQX-BNB23,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB23
CABEACH_WQX-BNB24E,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB24E
CABEACH_WQX-BNB24M,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB24M
CABEACH_WQX-BNB24N,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB24N
CABEACH_WQX-BNB24W,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB24M
CABEACH_WQX-BNB25,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB25
CABEACH_WQX-BNB28,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB28
CABEACH_WQX-BNB29,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB29
CABEACH_WQX-BNB30,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB30
CABEACH_WQX-BNB31,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB31
CABEACH_WQX-BNB32,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB32
CABEACH_WQX-BNB33,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB33
CABEACH_WQX-BNB34,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB34
CABEACH_WQX-BNB35,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNB35
CABEACH_WQX-BNS01,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNS01
CABEACH_WQX-BNS02,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BNS02
CABEACH_WQX-BOLINAS,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-BOLINAS
CABEACH_WQX-Calera Creek,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Calera Creek
CABEACH_WQX-Campbell Cove,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Campbell Cove
CABEACH_WQX-Caspar Headlands,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-Caspar Headlands
CABEACH_WQX-CAY13,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-CAY13
CABEACH_WQX-CAY14,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-CAY14
CABEACH_WQX-CAY16,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-CAY16
CABEACH_WQX-CB-01,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-CB-01
CABEACH_WQX-CB-02,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-CB-02
CABEACH_WQX-CBOA,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-CBOA
CABEACH_WQX-CHICKEN RANCH,beach,SOURCED: EPA BEACH Act location type,beach_act,BEACH Program Site-Ocean,CABEACH_WQX,CA,CABEACH_WQX-CHICKEN RANCH
